,id,rank,Country,Continent,Case_Fatality_Rate,Test_Percentage,Recovery_Proporation,TotalTests,Deaths_1M_pop
80,0d159598-c97e-485c-a17b-a34a82ae29bd,80,Bahrain,Asia,0.23,557.36,98.98,10167293,827.0
81,d6f78add-5ba5-4a09-9207-f7ec95db5e61,81,Kuwait,Asia,0.39,188.18,99.06,8282574,581.0
82,4b172cda-eece-4d9d-959d-5d9bd0152a7a,82,Dominican Republic,North America,0.7,32.37,98.84,3584619,396.0
83,656a97f0-ebc6-49bd-8aca-ba2b36ef2e5f,83,Myanmar,Asia,3.16,15.47,96.55,8531707,352.0
84,d4008e11-6975-4ea6-a9d0-aa571c2604aa,84,Palestine,Asia,0.9,57.57,97.79,3078533,1004.0
85,8ffed1e8-55da-40c5-ba55-c8217745b6d4,85,Estonia,Europe,0.45,258.83,89.56,3438220,1972.0
86,f2bd16b1-2a21-42c3-ba7a-62e372619ba6,86,Cyprus,Asia,0.2,781.05,22.09,9572310,910.0
87,a4bf948e-feab-40c2-a4f3-8f1845227cb0,87,Venezuela,South America,1.08,11.88,98.03,3359014,204.0
88,40ec322d-781b-4601-a88e-ea02e883d286,88,Moldova,Europe,2.22,80.12,96.89,3216305,2881.0
89,7844e28f-fac5-4139-9e38-10524822bcc6,89,Egypt,Africa,4.77,3.47,85.75,3693367,231.0
90,7fbd3cf9-04e1-4ecf-8187-7c1a53fcdd39,90,Libya,Africa,1.28,35.06,97.49,2477219,910.0
91,8b530d04-0043-48cc-938c-71395833398f,91,Ethiopia,Africa,1.54,4.25,95.4,5140047,63.0
92,06e13c04-2cd2-4b58-89c9-bf5e9673e7de,92,Honduras,North America,2.49,14.13,30.12,1445273,1069.0
93,07e7a02c-dadf-46fd-b333-03cf9576b9e3,93,Réunion,Africa,0.19,176.51,96.24,1603660,922.0
94,f281c4d9-4a39-44d4-baa9-8deb858d73cb,94,Armenia,Asia,2.03,104.55,97.01,3109931,2902.0
95,d7b5b1f3-7613-497f-ad47-659c3e7b274f,95,Qatar,Asia,0.17,133.47,98.06,3747568,243.0
96,0c7482a0-3655-48e5-a002-ea7e84e9a5e0,96,Oman,Asia,1.08,465.05,97.2,25000000,792.0
97,6f12c131-ea0a-4953-9249-e3a16555b940,97,Bosnia and Herzegovina,Europe,4.12,56.0,0.0,1813440,4895.0
98,4d0b4ae2-5c78-4099-83c1-106807cc3ca4,98,Kenya,Africa,1.68,6.79,98.14,3819910,101.0
99,8be534c1-1507-4eaa-a2a7-d3ddfecd8b35,99,Zambia,Africa,1.22,18.63,98.35,3623582,206.0
100,a4a08077-a4ec-4cca-a3f9-da0271e814a2,100,North Macedonia,Europe,2.87,100.67,95.55,2097135,4498.0
101,b9dfb35b-fcd7-4235-88db-3164f085fe32,101,Botswana,Africa,0.85,82.73,99.06,2026898,1131.0
102,fddf0a3a-754d-4938-bf36-23233f4a20ff,102,Albania,Europe,1.14,65.11,95.23,1869495,1234.0
103,a1f7abfd-5e25-4c08-955a-c61a8ad19665,103,Luxembourg,Europe,0.4,674.24,95.03,4362918,1712.0
104,c1312566-0372-4b3f-b856-2ab3f468b8f2,104,Algeria,Africa,2.57,0.51,67.1,230861,151.0
105,97dd3c39-1d10-44f7-b8db-6719494b8cd1,105,Nigeria,Africa,1.21,2.47,97.21,5356770,15.0
106,e4a3c6fe-8601-48ca-b352-666fda42efef,106,Montenegro,Europe,1.06,405.02,96.4,2544439,4366.0
107,09427c33-6194-4989-a06e-4d6d52518b06,107,Zimbabwe,Africa,2.18,15.97,97.63,2445398,364.0
108,c0e96d03-21df-42c0-a932-ec088d305cba,108,Uzbekistan,Asia,0.67,4.0,98.82,1377915,47.0
109,11b1c43d-0f5c-4503-855a-6bc5588790e2,109,Mozambique,Africa,0.96,4.14,98.88,1368086,67.0
110,b191f56d-eaf8-4a97-b1d3-e220e20aa686,110,Martinique,North America,0.47,221.25,0.05,828928,2682.0
111,a07df09d-690a-4ca7-8d76-0b01a071ea51,111,Laos,Asia,0.36,16.46,0.0,1233207,101.0
112,c784559e-003a-490b-9753-4b23ee5fdb39,112,Brunei,Asia,0.11,160.88,79.71,717784,504.0
113,4fd8c9f5-b433-4ae4-b8a0-3b04a1841304,113,Iceland,Europe,0.09,573.76,0.0,1984261,518.0
114,a173c7c0-6c68-4505-a21e-303b977f4432,114,Kyrgyzstan,Asia,1.49,28.27,97.55,1907195,443.0
115,0eabfcba-af61-47f8-9054-217d94a00c7d,115,El Salvador,North America,2.2,37.49,90.3,2456913,640.0
116,a22a19dd-cd37-4b17-bb78-214d939dcba6,116,Afghanistan,Asia,4.17,2.52,89.72,1027770,190.0
117,3aae6f72-2cd7-423d-9e01-c89c936d9d98,117,Maldives,Asia,0.17,395.13,88.81,2213831,548.0
118,30ac458c-b000-48f2-abc7-7c4c1c3e590c,118,Guadeloupe,North America,0.53,234.35,1.23,938039,2411.0
